quad_ref_x,quad_ref_y,quad_actual_x,quad_actual_y,payload_ref_x,payload_ref_y,payload_actual_x,payload_actual_y
-4.78511,-1.12413,-4.61712,-1.64005,-4.86749,-1.14349,-4.80471,-1.46291
-4.77917,-1.14914,-4.60557,-1.67303,-4.86144,-1.16893,-4.80066,-1.47607
-4.77361,-1.17201,-4.59653,-1.6983,-4.85579,-1.19219,-4.79326,-1.49983
-4.76769,-1.19586,-4.58644,-1.72598,-4.84977,-1.21645,-4.78655,-1.52102
-4.76141,-1.22062,-4.58179,-1.73853,-4.84338,-1.24164,-4.77972,-1.54228
-4.75553,-1.24336,-4.57145,-1.76605,-4.83739,-1.26476,-4.77451,-1.55826
-4.74891,-1.26839,-4.57051,-1.76855,-4.83066,-1.29023,-4.76567,-1.585
-4.74264,-1.29164,-4.55902,-1.79844,-4.82428,-1.31388,-4.75481,-1.61721
-4.736,-1.31579,-4.54735,-1.8282,-4.81753,-1.33844,-4.74741,-1.63876
-4.72927,-1.33977,-4.54341,-1.83809,-4.81068,-1.36283,-4.73608,-1.67121
-4.72282,-1.36234,-4.53046,-1.87015,-4.80412,-1.38579,-4.72739,-1.69562
-4.71605,-1.38558,-4.52034,-1.89472,-4.79724,-1.40944,-4.71954,-1.71739
-4.70894,-1.40955,-4.51317,-1.91187,-4.79001,-1.43382,-4.71156,-1.7392
-4.70202,-1.43248,-4.49967,-1.94362,-4.78296,-1.45714,-4.70345,-1.76107
-4.69461,-1.45658,-4.48912,-1.96795,-4.77543,-1.48165,-4.69315,-1.78847
-4.68747,-1.4794,-4.47951,-1.98979,-4.76816,-1.50487,-4.68582,-1.8077
-4.67977,-1.50357,-4.47086,-2.00915,-4.76033,-1.52946,-4.67626,-1.83247
-4.67216,-1.52706,-4.45993,-2.03329,-4.75259,-1.55335,-4.66545,-1.86006
-4.66459,-1.55003,-4.44886,-2.05735,-4.74489,-1.57671,-4.65666,-1.88217
-4.65689,-1.57299,-4.4399,-2.07654,-4.73706,-1.60007,-4.64326,-1.91541
-4.64893,-1.59637,-4.42629,-2.10525,-4.72896,-1.62386,-4.63188,-1.94317
-4.64081,-1.61984,-4.41711,-2.12433,-4.7207,-1.64772,-4.6203,-1.97098
-4.63276,-1.64271,-4.40552,-2.14813,-4.71252,-1.67099,-4.60972,-1.99604
-4.62465,-1.66541,-4.39142,-2.17659,-4.70426,-1.69408,-4.59899,-2.02113
-4.61596,-1.68935,-4.38192,-2.19551,-4.69542,-1.71843,-4.58689,-2.04904
-4.60764,-1.71192,-4.36751,-2.22382,-4.68696,-1.74139,-4.5746,-2.07698
-4.59901,-1.73497,-4.36145,-2.23559,-4.67818,-1.76484,-4.56588,-2.09654
-4.59021,-1.7581,-4.34555,-2.26611,-4.66924,-1.78836,-4.55328,-2.12451
-4.58143,-1.78086,-4.33069,-2.2942,-4.6603,-1.81152,-4.5405,-2.15248
